system   D            wsystem.c:583  maybe_parent_dir                 [   0.00241] Also searching C:\Users\Administrator\Documents\GitHub\PROJECT-HY454-2012\bubble bobble\src\Bubble Bobble\
display  D   display_settings.c:191  debug_display_settings           [   0.19898] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19900] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19902] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19904] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19905] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19907] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19909] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.19911] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19912] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19915] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.19916] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.19918] Single Buffer requirement not met.
